LOOKBACK,YEAR,MACRO_SECTOR,RANK_METRIC,HISTORY_START,HISTORY_END,RANK
1,2019,INDUSTRIALS,0.5354190298443506,2018,2018,1
1,2019,MATERIALS,0.4206832219622969,2018,2018,2
1,2019,UTILITIES,0.2734568318216839,2018,2018,3
1,2019,FINANCIALS,0.12392920651086325,2018,2018,4
1,2019,CONSUMER,-0.01524781922894114,2018,2018,5
1,2019,COMMUNICATION,-0.09692194610090443,2018,2018,6
1,2019,HEALTHCARE,-0.11185356551555847,2018,2018,7
1,2019,TECHNOLOGY,-0.18902868144127183,2018,2018,8
1,2020,TECHNOLOGY,0.9037601320006683,2019,2019,1
1,2020,INDUSTRIALS,0.7778649469176055,2019,2019,2
1,2020,CONSUMER,0.5826672126078258,2019,2019,3
1,2020,FINANCIALS,0.5533176360705272,2019,2019,4
1,2020,ENERGY,0.4900051331345088,2019,2019,5
1,2020,HEALTHCARE,0.4231700369636133,2019,2019,6
1,2020,UTILITIES,0.4215970507450697,2019,2019,7
1,2020,COMMUNICATION,0.3407061919995318,2019,2019,8
1,2020,MATERIALS,0.31694099695688305,2019,2019,9
1,2021,TECHNOLOGY,0.40964633488264246,2020,2020,1
1,2021,MATERIALS,0.35094042904461364,2020,2020,2
1,2021,INDUSTRIALS,0.1775231615479842,2020,2020,3
1,2021,ENERGY,0.13810373884789207,2020,2020,4
1,2021,UTILITIES,0.12547971743002462,2020,2020,5
1,2021,CONSUMER,0.06213269196665028,2020,2020,6
1,2021,HEALTHCARE,0.059057258295298176,2020,2020,7
1,2021,FINANCIALS,-0.13419748688739164,2020,2020,8
1,2021,COMMUNICATION,-0.17418425754386468,2020,2020,9
1,2022,MATERIALS,0.44539927872500384,2021,2021,1
1,2022,ENERGY,-0.038527884992979766,2021,2021,2
1,2022,UTILITIES,-0.07683609669766278,2021,2021,3
1,2022,INDUSTRIALS,-0.10615494329903807,2021,2021,4
1,2022,CONSUMER,-0.10635686724726323,2021,2021,5
1,2022,FINANCIALS,-0.19373880069044602,2021,2021,6
1,2022,HEALTHCARE,-0.259445609894732,2021,2021,7
1,2022,COMMUNICATION,-0.2930298733687797,2021,2021,8
1,2022,TECHNOLOGY,-0.2963260552164869,2021,2021,9
1,2023,ENERGY,0.10150738156465211,2022,2022,1
1,2023,FINANCIALS,-0.02194096735386275,2022,2022,2
1,2023,UTILITIES,-0.04130274796049904,2022,2022,3
1,2023,MATERIALS,-0.16791417547359622,2022,2022,4
1,2023,CONSUMER,-0.20109551559400518,2022,2022,5
1,2023,INDUSTRIALS,-0.26452568905675355,2022,2022,6
1,2023,TECHNOLOGY,-0.29390520685715527,2022,2022,7
1,2023,HEALTHCARE,-0.3075520547929882,2022,2022,8
1,2023,COMMUNICATION,-0.31679937990439133,2022,2022,9
1,2024,INDUSTRIALS,0.6591979713207272,2023,2023,1
1,2024,TECHNOLOGY,0.5167138598516372,2023,2023,2
1,2024,COMMUNICATION,0.4666863424324852,2023,2023,3
1,2024,ENERGY,0.39525244594806885,2023,2023,4
1,2024,FINANCIALS,0.32335427045923804,2023,2023,5
1,2024,CONSUMER,0.2126306364310815,2023,2023,6
1,2024,UTILITIES,0.159667200062235,2023,2023,7
1,2024,HEALTHCARE,0.10773708688758221,2023,2023,8
1,2024,MATERIALS,0.04758438595754155,2023,2023,9
1,2025,TECHNOLOGY,0.4550367252715568,2024,2024,1
1,2025,COMMUNICATION,0.1137705376313558,2024,2024,2
1,2025,HEALTHCARE,0.09114288524238479,2024,2024,3
1,2025,UTILITIES,-0.0004507246977840662,2024,2024,4
1,2025,FINANCIALS,-0.019943766349981518,2024,2024,5
1,2025,ENERGY,-0.06103688909820415,2024,2024,6
1,2025,MATERIALS,-0.13337451916460186,2024,2024,7
1,2025,INDUSTRIALS,-0.17252919254598587,2024,2024,8
1,2025,CONSUMER,-0.18651962395504085,2024,2024,9
2,2020,INDUSTRIALS,0.6522008570360045,2018,2019,1
2,2020,MATERIALS,0.36782892888363206,2018,2019,2
2,2020,UTILITIES,0.345489679027255,2018,2019,3
2,2020,FINANCIALS,0.321294463080837,2018,2019,4
2,2020,CONSUMER,0.24841298817755408,2018,2019,5
